breadcrumb,Concepto,modelo,marcos
5 - CONSTRUAL - ALUMINIO / _FIJOS / 1 MARCO,AMF_0000,Modelo Fijo de Aluminio Construal,1
5 - CONSTRUAL - ALUMINIO / _FIJOS / 1 MARCO,AMF_0010,Modelo Fijo de Aluminio Construal,1
5 - CONSTRUAL - ALUMINIO / _FIJOS / 1 MARCO,AMF_0100,Modelo Fijo de Aluminio Construal,1
5 - CONSTRUAL - ALUMINIO / _FIJOS / 1 MARCO / 2 PERSIANAS,AMF_0101,Modelo Fijo de Aluminio Construal 2 paños,1
5 - CONSTRUAL - ALUMINIO / _FIJOS / 2 MARCOS,AMF_20000,Modelo 2 Fijos en 2 Marcos de Aluminio Construal,2
5 - CONSTRUAL - ALUMINIO / _FIJOS / 2 MARCOS,AMF_20002,Modelo 2 Fijos en 2 Marcos de Aluminio Construal,2
5 - CONSTRUAL - ALUMINIO / _FIJOS / 2 MARCOS / 2 PERSIANAS,AMF_20200,Modelo 2 Fijos en 2 Marcos con 2 Paños de Aluminio Construal,2
5 - CONSTRUAL - ALUMINIO / _FIJOS / 3 MARCOS,AMF_30000,Modelo 3 Fijos en 3 Marcos de Aluminio Construal,3
5 - CONSTRUAL - ALUMINIO / _FIJOS / 3 MARCOS,AMF_30002,Modelo 3 Fijos en 3 Marcos de Aluminio Construal,3
5 - CONSTRUAL - ALUMINIO / _FIJOS / CAJON VOLADO,AMV_0000,Modelo Fijo de Aluminio con Cajón Volado Construal,1
5 - CONSTRUAL - ALUMINIO / 1 HOJA / ABATIBLES,AMF_1000.0,Modelo 1 Hoja Abatible de Aluminio Construal,1
5 - CONSTRUAL - ALUMINIO / 1 HOJA / APERTURA INTERIOR,AMF_1000,Modelo 1 Hoja de Aluminio Construal,1
5 - CONSTRUAL - ALUMINIO / 1 HOJA / APERTURA INTERIOR,AMF_1001,Modelo 1 Hoja de Aluminio Construal,1
5 - CONSTRUAL - ALUMINIO / 1 HOJA / APERTURA INTERIOR,AMF_1010,Modelo Fijo de Aluminio Construal,1
5 - CONSTRUAL - ALUMINIO / 1 HOJA / APERTURA INTERIOR,AMF_1011,Modelo Fijo de Aluminio Construal,1
